Fusion method,Nearby node count,AP@2m (%),Recall@2m (%),Beam Top-1@2m (%),Beam Top-4@2m (%)
Cross-agent + gated fusion,0,33.91,47.44,49.13,86.08
Cross-agent + gated fusion,1,44.19,54.35,59.13,88.01
Cross-agent + gated fusion,2,53.31,60.35,62.40,92.24
Cross-agent + gated fusion,3,57.22,62.32,67.02,93.98
Cross-agent + gated fusion,4,69.00,73.24,67.06,93.73
Cross-agent + gated fusion,5,77.65,82.38,67.45,93.72
Cross-agent attention,0,38.59,52.34,55.67,91.58
Cross-agent attention,1,50.30,57.39,59.26,92.03
Cross-agent attention,2,56.42,60.78,65.02,94.09
Cross-agent attention,3,58.39,62.45,66.57,94.63
Cross-agent attention,4,71.40,74.25,68.52,95.30
Cross-agent attention,5,80.41,83.15,68.70,95.40
Node masked mean,0,32.17,50.51,63.37,92.73
Node masked mean,1,48.01,55.39,63.88,91.79
Node masked mean,2,53.30,58.86,65.26,92.99
Node masked mean,3,54.94,60.17,66.32,93.16
Node masked mean,4,63.71,68.65,66.91,92.78
Node masked mean,5,67.48,72.82,67.18,92.99
